sprint,story_id,story,keyword,mitre_id,technique,severity,score,recommendation,security_user_story,assignee
4,3,"1,2,""As a user, I want to login with email and password so I can access my dashboard."",password,T1003,Credential Dumping,High,9.0,Hash and salt passwords,""As a system, I must implement Hash and salt passwords to mitigate Credential Dumping (T1003) risk for 'password'."",Team",1,(unknown),(unknown),Medium,6.0,Extend mapping JSON,"As a system, I should apply recommended security controls to reduce (unknown) ((unknown)) risk for '1'.",Team
4,3,"1,2,""As a user, I want to login with email and password so I can access my dashboard."",password,T1003,Credential Dumping,High,9.0,Hash and salt passwords,""As a system, I must implement Hash and salt passwords to mitigate Credential Dumping (T1003) risk for 'password'."",Team",2,(unknown),(unknown),Medium,6.0,Extend mapping JSON,"As a system, I should apply recommended security controls to reduce (unknown) ((unknown)) risk for '2'.",Team
4,3,"1,2,""As a user, I want to login with email and password so I can access my dashboard."",password,T1003,Credential Dumping,High,9.0,Hash and salt passwords,""As a system, I must implement Hash and salt passwords to mitigate Credential Dumping (T1003) risk for 'password'."",Team","""as",(unknown),(unknown),Medium,6.0,Extend mapping JSON,"As a system, I should apply recommended security controls to reduce (unknown) ((unknown)) risk for '""as'.",Team
4,3,"1,2,""As a user, I want to login with email and password so I can access my dashboard."",password,T1003,Credential Dumping,High,9.0,Hash and salt passwords,""As a system, I must implement Hash and salt passwords to mitigate Credential Dumping (T1003) risk for 'password'."",Team",access,T1078,Valid Accounts,Medium,6.0,Implement RBAC and access reviews,"As a system, I should apply Implement RBAC and access reviews to reduce Valid Accounts (T1078) risk for 'access'.",Team
4,3,"1,2,""As a user, I want to login with email and password so I can access my dashboard."",password,T1003,Credential Dumping,High,9.0,Hash and salt passwords,""As a system, I must implement Hash and salt passwords to mitigate Credential Dumping (T1003) risk for 'password'."",Team",credential dumping,(unknown),(unknown),Medium,6.0,Extend mapping JSON,"As a system, I should apply recommended security controls to reduce (unknown) ((unknown)) risk for 'credential dumping'.",Team
4,4,"1,3,""As a user, I want to reset my password using an email OTP so I can recover my account."",password,T1003,Credential Dumping,High,9.0,Hash and salt passwords,""As a system, I must implement Hash and salt passwords to mitigate Credential Dumping (T1003) risk for 'password'."",Team",1,(unknown),(unknown),Medium,6.0,Extend mapping JSON,"As a system, I should apply recommended security controls to reduce (unknown) ((unknown)) risk for '1'.",Team
4,4,"1,3,""As a user, I want to reset my password using an email OTP so I can recover my account."",password,T1003,Credential Dumping,High,9.0,Hash and salt passwords,""As a system, I must implement Hash and salt passwords to mitigate Credential Dumping (T1003) risk for 'password'."",Team",3,(unknown),(unknown),Medium,6.0,Extend mapping JSON,"As a system, I should apply recommended security controls to reduce (unknown) ((unknown)) risk for '3'.",Team
4,4,"1,3,""As a user, I want to reset my password using an email OTP so I can recover my account."",password,T1003,Credential Dumping,High,9.0,Hash and salt passwords,""As a system, I must implement Hash and salt passwords to mitigate Credential Dumping (T1003) risk for 'password'."",Team","""as",(unknown),(unknown),Medium,6.0,Extend mapping JSON,"As a system, I should apply recommended security controls to reduce (unknown) ((unknown)) risk for '""as'.",Team
4,4,"1,3,""As a user, I want to reset my password using an email OTP so I can recover my account."",password,T1003,Credential Dumping,High,9.0,Hash and salt passwords,""As a system, I must implement Hash and salt passwords to mitigate Credential Dumping (T1003) risk for 'password'."",Team",credential dumping,(unknown),(unknown),Medium,6.0,Extend mapping JSON,"As a system, I should apply recommended security controls to reduce (unknown) ((unknown)) risk for 'credential dumping'.",Team
4,4,"1,3,""As a user, I want to reset my password using an email OTP so I can recover my account."",password,T1003,Credential Dumping,High,9.0,Hash and salt passwords,""As a system, I must implement Hash and salt passwords to mitigate Credential Dumping (T1003) risk for 'password'."",Team",otp,(unknown),(unknown),Medium,6.0,Extend mapping JSON,"As a system, I should apply recommended security controls to reduce (unknown) ((unknown)) risk for 'otp'.",Team
4,5,"1,5,""As an admin, I want to bulk-upload product CSV files to update the catalog."",admin,T1078,Valid Accounts,High,9.0,Harden admin access and enable MFA,""As a system, I must implement Harden admin access and enable MFA to mitigate Valid Accounts (T1078) risk for 'admin'."",Team",1,(unknown),(unknown),Medium,6.0,Extend mapping JSON,"As a system, I should apply recommended security controls to reduce (unknown) ((unknown)) risk for '1'.",Team
4,5,"1,5,""As an admin, I want to bulk-upload product CSV files to update the catalog."",admin,T1078,Valid Accounts,High,9.0,Harden admin access and enable MFA,""As a system, I must implement Harden admin access and enable MFA to mitigate Valid Accounts (T1078) risk for 'admin'."",Team",5,(unknown),(unknown),Medium,6.0,Extend mapping JSON,"As a system, I should apply recommended security controls to reduce (unknown) ((unknown)) risk for '5'.",Team
4,5,"1,5,""As an admin, I want to bulk-upload product CSV files to update the catalog."",admin,T1078,Valid Accounts,High,9.0,Harden admin access and enable MFA,""As a system, I must implement Harden admin access and enable MFA to mitigate Valid Accounts (T1078) risk for 'admin'."",Team","""as",(unknown),(unknown),Medium,6.0,Extend mapping JSON,"As a system, I should apply recommended security controls to reduce (unknown) ((unknown)) risk for '""as'.",Team
4,5,"1,5,""As an admin, I want to bulk-upload product CSV files to update the catalog."",admin,T1078,Valid Accounts,High,9.0,Harden admin access and enable MFA,""As a system, I must implement Harden admin access and enable MFA to mitigate Valid Accounts (T1078) risk for 'admin'."",Team",access,T1078,Valid Accounts,Medium,6.0,Implement RBAC and access reviews,"As a system, I should apply Implement RBAC and access reviews to reduce Valid Accounts (T1078) risk for 'access'.",Team
4,5,"1,5,""As an admin, I want to bulk-upload product CSV files to update the catalog."",admin,T1078,Valid Accounts,High,9.0,Harden admin access and enable MFA,""As a system, I must implement Harden admin access and enable MFA to mitigate Valid Accounts (T1078) risk for 'admin'."",Team",csv,(unknown),(unknown),Medium,6.0,Extend mapping JSON,"As a system, I should apply recommended security controls to reduce (unknown) ((unknown)) risk for 'csv'.",Team
4,5,"1,5,""As an admin, I want to bulk-upload product CSV files to update the catalog."",admin,T1078,Valid Accounts,High,9.0,Harden admin access and enable MFA,""As a system, I must implement Harden admin access and enable MFA to mitigate Valid Accounts (T1078) risk for 'admin'."",Team",harden,(unknown),(unknown),Medium,6.0,Extend mapping JSON,"As a system, I should apply recommended security controls to reduce (unknown) ((unknown)) risk for 'harden'.",Team
4,5,"1,5,""As an admin, I want to bulk-upload product CSV files to update the catalog."",admin,T1078,Valid Accounts,High,9.0,Harden admin access and enable MFA,""As a system, I must implement Harden admin access and enable MFA to mitigate Valid Accounts (T1078) risk for 'admin'."",Team",mfa,T1110,Brute Force (targeting second factor),Medium,6.0,Use phishing-resistant MFA and MFA prompts monitoring,"As a system, I should apply Use phishing-resistant MFA and MFA prompts monitoring to reduce Brute Force (targeting second factor) (T1110) risk for 'mfa'.",Team
4,5,"1,5,""As an admin, I want to bulk-upload product CSV files to update the catalog."",admin,T1078,Valid Accounts,High,9.0,Harden admin access and enable MFA,""As a system, I must implement Harden admin access and enable MFA to mitigate Valid Accounts (T1078) risk for 'admin'."",Team",upload,T1204,User Execution (malicious file uploads),Medium,6.0,"Validate file types, antivirus scanning, storage isolation","As a system, I should apply Validate file types, antivirus scanning, storage isolation to reduce User Execution (malicious file uploads) (T1204) risk for 'upload'.",Team
4,5,"1,5,""As an admin, I want to bulk-upload product CSV files to update the catalog."",admin,T1078,Valid Accounts,High,9.0,Harden admin access and enable MFA,""As a system, I must implement Harden admin access and enable MFA to mitigate Valid Accounts (T1078) risk for 'admin'."",Team",valid accounts,(unknown),(unknown),Medium,6.0,Extend mapping JSON,"As a system, I should apply recommended security controls to reduce (unknown) ((unknown)) risk for 'valid accounts'.",Team
4,6,"1,7,""As a developer, I want to expose a public REST API for product search."",api,T1190,Exploit Public-Facing Application,High,9.0,""Validate inputs, enforce rate-limits"",""As a system, I must implement Validate inputs, enforce rate-limits to mitigate Exploit Public-Facing Application (T1190) risk for 'api'."",Team",1,(unknown),(unknown),Medium,6.0,Extend mapping JSON,"As a system, I should apply recommended security controls to reduce (unknown) ((unknown)) risk for '1'.",Team
4,6,"1,7,""As a developer, I want to expose a public REST API for product search."",api,T1190,Exploit Public-Facing Application,High,9.0,""Validate inputs, enforce rate-limits"",""As a system, I must implement Validate inputs, enforce rate-limits to mitigate Exploit Public-Facing Application (T1190) risk for 'api'."",Team",7,(unknown),(unknown),Medium,6.0,Extend mapping JSON,"As a system, I should apply recommended security controls to reduce (unknown) ((unknown)) risk for '7'.",Team
4,6,"1,7,""As a developer, I want to expose a public REST API for product search."",api,T1190,Exploit Public-Facing Application,High,9.0,""Validate inputs, enforce rate-limits"",""As a system, I must implement Validate inputs, enforce rate-limits to mitigate Exploit Public-Facing Application (T1190) risk for 'api'."",Team","""as",(unknown),(unknown),Medium,6.0,Extend mapping JSON,"As a system, I should apply recommended security controls to reduce (unknown) ((unknown)) risk for '""as'.",Team
4,6,"1,7,""As a developer, I want to expose a public REST API for product search."",api,T1190,Exploit Public-Facing Application,High,9.0,""Validate inputs, enforce rate-limits"",""As a system, I must implement Validate inputs, enforce rate-limits to mitigate Exploit Public-Facing Application (T1190) risk for 'api'."",Team",exploit public-facing application,(unknown),(unknown),Medium,6.0,Extend mapping JSON,"As a system, I should apply recommended security controls to reduce (unknown) ((unknown)) risk for 'exploit public-facing application'.",Team
4,6,"1,7,""As a developer, I want to expose a public REST API for product search."",api,T1190,Exploit Public-Facing Application,High,9.0,""Validate inputs, enforce rate-limits"",""As a system, I must implement Validate inputs, enforce rate-limits to mitigate Exploit Public-Facing Application (T1190) risk for 'api'."",Team",t1190,(unknown),(unknown),Medium,6.0,Extend mapping JSON,"As a system, I should apply recommended security controls to reduce (unknown) ((unknown)) risk for 't1190'.",Team
4,6,"1,7,""As a developer, I want to expose a public REST API for product search."",api,T1190,Exploit Public-Facing Application,High,9.0,""Validate inputs, enforce rate-limits"",""As a system, I must implement Validate inputs, enforce rate-limits to mitigate Exploit Public-Facing Application (T1190) risk for 'api'."",Team",exploit public-facing application,(unknown),(unknown),Medium,6.0,Extend mapping JSON,"As a system, I should apply recommended security controls to reduce (unknown) ((unknown)) risk for 'exploit public-facing application'.",Team
4,6,"1,7,""As a developer, I want to expose a public REST API for product search."",api,T1190,Exploit Public-Facing Application,High,9.0,""Validate inputs, enforce rate-limits"",""As a system, I must implement Validate inputs, enforce rate-limits to mitigate Exploit Public-Facing Application (T1190) risk for 'api'."",Team",validate,(unknown),(unknown),Medium,6.0,Extend mapping JSON,"As a system, I should apply recommended security controls to reduce (unknown) ((unknown)) risk for 'validate'.",Team
4,7,"1,9,""As a user, I want",1,(unknown),(unknown),Medium,6.0,Extend mapping JSON,"As a system, I should apply recommended security controls to reduce (unknown) ((unknown)) risk for '1'.",Team
4,7,"1,9,""As a user, I want",9,(unknown),(unknown),Medium,6.0,Extend mapping JSON,"As a system, I should apply recommended security controls to reduce (unknown) ((unknown)) risk for '9'.",Team
4,7,"1,9,""As a user, I want","""as",(unknown),(unknown),Medium,6.0,Extend mapping JSON,"As a system, I should apply recommended security controls to reduce (unknown) ((unknown)) risk for '""as'.",Team
